Patient_ID	ENSG00000224037.2	ENSG00000229719.2	ENSG00000241449.1	ENSG00000258252.1	ENSG00000258573.1
TCGA-BK-A139-01	0	0	0	0	0.115833111
TCGA-BK-A13C-01	0	0	0	0	0
TCGA-BK-A13C-01	0	0	0.051739675	0	0
TCGA-BK-A26L-01	0	0	0	0	0.017784389
TCGA-BS-A0T9-01	0.036877341	0	0	0.166692195	0
TCGA-BS-A0TA-01	0	0	0	0	0
TCGA-BS-A0TC-01	0.132159946	0	0	0	0.021280707
TCGA-BS-A0TD-01	0.03226249	0	0	0	0.041559859
TCGA-BS-A0TE-01	0	0.137683997	0	0	0
TCGA-BS-A0TG-01	0	0	0	0	0.028989933
TCGA-BS-A0TI-01	0	0	0	0	0
TCGA-BS-A0TJ-01	0.03457045	0	0	0	0
TCGA-BS-A0U5-01	0	0	0.057654851	0.267590902	0
TCGA-BS-A0U7-01	0	0	0	0	0.04850142
TCGA-BS-A0U8-01	0	0	0	0	0
TCGA-BS-A0U9-01	0.069641594	0	0	0.092729572	0
TCGA-BS-A0UA-01	0.046736271	0	0	0	0
TCGA-BS-A0UF-01	0	0.01671075	0	0	0.039550555
TCGA-BS-A0UJ-01	0	0	0.023989969	0.074229051	0
TCGA-BS-A0UL-01	0	0	0.027167716	0.084061544	0
TCGA-BS-A0UM-01	0.214152785	0	0	0	0
TCGA-BS-A0UT-01	0	0	0	0	0
TCGA-BS-A0UV-01	0	0	0	0	0
TCGA-BS-A0V6-01	0.017489268	0	0	0.083446553	0
TCGA-BS-A0V8-01	0	0	0	0.111443576	0
TCGA-BS-A0WQ-01	0	0	0	0	0
TCGA-D1-A0ZN-01	0.003971087	0	0	0	0
TCGA-D1-A0ZO-01	0	0	0	0	0.02521843
TCGA-D1-A0ZP-01	0.206419037	0	0.043892465	0	0
TCGA-D1-A0ZQ-01	0	0	0.02234049	0	0
TCGA-D1-A0ZR-01	0.237950545	0	0	0	0
TCGA-D1-A0ZS-01	0	0	0	0	0
TCGA-D1-A0ZU-01	0.034795164	0	0	0	0
TCGA-D1-A0ZV-01	0	0	0	0	0
TCGA-D1-A0ZZ-01	0	0.019382855	0	0	0
TCGA-D1-A101-01	0	0	0	0.264366754	0
TCGA-D1-A102-01	0	0	0	0	0
TCGA-D1-A103-01	0	0	0	0	0
TCGA-D1-A15V-01	0	0	0	0	0
TCGA-D1-A15W-01	0	0	0.026373125	0	0
TCGA-D1-A15X-01	0	0	0	0	0
TCGA-D1-A15Z-01	0	0	0.026946937	0	0
TCGA-D1-A160-01	0	0	0.030673272	0.094908331	0
TCGA-D1-A161-01	0	0	0.054135414	0	0
TCGA-D1-A162-01	0.039881249	0	0	0	0
TCGA-D1-A163-01	0	0	0	0	0
TCGA-D1-A165-01	0.037098446	0	0	0	0
TCGA-D1-A167-01	0	0	0	0	0
TCGA-D1-A168-01	0	0	0	0	0
TCGA-D1-A169-01	0.100885405	0	0	0	0.011736336
TCGA-D1-A16B-01	0.035213846	0	0.005753475	0	0
TCGA-D1-A16D-01	0.037304761	0	0	0	0
TCGA-D1-A16E-01	0	0	0.024083778	0	0
TCGA-D1-A16F-01	0.187020814	0	0.025017095	0	0
TCGA-D1-A16G-01	0	0.040533062	0	0	0
TCGA-D1-A16I-01	0.140317005	0.025457081	0	3.065580495	0.503414096
TCGA-D1-A16J-01	0	0.018388534	0	0	0
TCGA-D1-A16N-01	0	0	0	0	0
TCGA-D1-A16O-01	0.037980161	0	0.002555187	0	0
TCGA-D1-A16Q-01	0.040024	0	0.058469844	0.180915661	0
TCGA-D1-A16R-01	0	0	0	0	0
TCGA-D1-A16S-01	0	0	0	0	0.054147887
TCGA-D1-A16V-01	0.185311834	0	0.045594344	0	0
TCGA-D1-A16X-01	0.073503668	0	0	0	0.023671469
TCGA-D1-A16Y-01	0.033735724	0	0	0	0
TCGA-D1-A174-01	0	0	0	0	0
TCGA-D1-A175-01	0	0	0	0	0
TCGA-D1-A176-01	0	0	0.026899008	0	0
TCGA-D1-A177-01	0	0.043930991	0.029478332	0	0
TCGA-D1-A179-01	0	0	0	0	0
TCGA-D1-A17A-01	0	0.021034868	0.018200535	0	0
TCGA-D1-A17B-01	0.035102182	0	0.025639855	0	0
TCGA-D1-A17C-01	0	0	0	0	0
TCGA-D1-A17D-01	0.037914915	0	0	0	0
TCGA-D1-A17F-01	0.075520931	0	0.027581557	0	0
TCGA-D1-A17H-01	0	0	0	0	0
TCGA-D1-A17K-01	0.033891879	0	0	0	0.021829402
TCGA-D1-A17L-01	0	0	0	0	0
TCGA-D1-A17M-01	0	0	0	0	0
TCGA-D1-A17N-01	0	0	0	0	0
